frame_id,scan_type,valid_points_count,global_mean_distance,global_std_distance,global_mean_rssi,global_std_rssi,near_points_ratio,dist_range_mm,ch_0_mean_dist,ch_0_std_dist,ch_0_mean_rssi,ch_8_mean_dist,ch_8_std_dist,ch_8_mean_rssi,ch_15_mean_dist,ch_15_std_dist,ch_15_mean_rssi,is_wet
0,WET,576,1401.8038194444443,2642.4506134456515,127.16145833333333,68.73959497493209,0.875,26485.0,975.2777777777778,26.500254566012988,198.0,578.6111111111111,9.493690469472803,187.05555555555554,3869.6388888888887,5024.431084512542,89.47222222222223,1
1,WET,576,1406.2413194444443,2661.0818091313777,126.63368055555556,68.89512090899197,0.8767361111111112,26496.0,975.7222222222222,26.541192901505404,198.19444444444446,578.4444444444445,9.345570209445892,188.58333333333334,3776.5833333333335,5070.378753815425,93.0,1
2,WET,576,1454.236111111111,2732.588281297583,127.07986111111111,68.94238645405822,0.8680555555555556,26482.0,975.3888888888889,26.426477823552844,197.86111111111111,578.5833333333334,9.433602553789148,187.05555555555554,3826.3333333333335,5044.201451737856,88.05555555555556,1
3,WET,576,1468.8090277777778,2751.71269425499,127.80729166666667,69.10581672453435,0.8645833333333334,26484.0,975.6111111111111,26.228967386436132,198.11111111111111,578.8055555555555,9.127100758399036,188.58333333333334,3872.277777777778,5142.6801773345005,89.0,1
4,WET,576,1422.7239583333333,2564.823254790647,127.37326388888889,69.08208619028949,0.8697916666666666,16191.0,975.6666666666666,26.79765448158263,196.61111111111111,578.5833333333334,9.240825566087542,186.97222222222223,3482.3611111111113,3675.034477216528,90.88888888888889,1
5,WET,576,1409.5208333333333,2623.174067906702,127.81076388888889,69.18619670638249,0.8697916666666666,26481.0,975.3333333333334,26.165407916341977,196.55555555555554,578.4444444444445,9.175882812940966,187.13888888888889,3820.0,5167.940462947636,87.25,1
6,WET,576,1457.4565972222222,2766.4700466387726,127.53993055555556,68.87432044428347,0.8697916666666666,26488.0,975.5,26.10801737835662,197.91666666666666,577.9166666666666,8.816785938521718,188.41666666666666,3827.0555555555557,5045.777249737473,89.08333333333333,1
7,WET,576,1457.4565972222222,2766.4700466387726,127.53993055555556,68.87432044428347,0.8697916666666666,26488.0,975.5,26.10801737835662,197.91666666666666,577.9166666666666,8.816785938521718,188.41666666666666,3827.0555555555557,5045.777249737473,89.08333333333333,1
8,WET,576,1438.314236111111,2683.023296699205,127.84895833333333,68.88761302354435,0.8697916666666666,26492.0,975.3888888888889,26.435125742388156,196.38888888888889,578.25,9.14447530323247,188.58333333333334,3723.75,5093.607620621865,86.22222222222223,1
9,WET,576,1424.2552083333333,2693.4789292215323,127.04340277777777,68.97430473314758,0.875,26492.0,976.1666666666666,26.78112341610358,197.94444444444446,578.2777777777778,9.110782030448824,188.30555555555554,3703.6944444444443,4895.328617712688,88.58333333333333,1
10,WET,576,1469.517361111111,2784.0304172695246,127.57638888888889,68.83538433799784,0.8697916666666666,26485.0,975.5555555555555,26.90028618482333,197.94444444444446,578.6388888888889,9.734042700830281,187.16666666666666,3775.527777777778,5069.313464287482,90.13888888888889,1
11,WET,576,1405.7934027777778,2567.564822025668,128.26041666666666,68.7932053318232,0.8645833333333334,26484.0,975.1388888888889,26.625608272357198,198.02777777777777,578.25,9.317801702731636,187.0,3551.3611111111113,4707.172333807074,93.41666666666667,1
12,WET,576,1388.279513888889,2644.8634442794723,126.61805555555556,69.16905081511224,0.8819444444444444,26480.0,975.5277777777778,26.212849750904464,196.47222222222223,578.4722222222222,9.415750060741267,186.91666666666666,3775.8888888888887,5069.140917793117,88.0,1
13,WET,576,1424.6996527777778,2689.8567434747424,127.07986111111111,69.15743319880646,0.8732638888888888,27053.0,975.5,26.192147132844443,198.16666666666666,579.0833333333334,9.54500617376138,188.66666666666666,3820.5833333333335,5169.222845015348,86.94444444444444,1
14,WET,576,1474.9427083333333,2782.6329704892405,127.84201388888889,68.91105659431041,0.8680555555555556,26493.0,975.5277777777778,26.327048677424745,198.25,578.9166666666666,9.366734451542559,186.91666666666666,3777.0833333333335,5070.513833499943,89.05555555555556,1
15,WET,576,1440.5711805555557,2735.1221385870294,127.24479166666667,69.0214651140091,0.8715277777777778,26482.0,975.6666666666666,26.1741420926401,198.02777777777777,578.75,9.378927748644069,188.27777777777777,3871.6944444444443,5144.458804352752,87.91666666666667,1
16,WET,576,1440.5711805555557,2735.1221385870294,127.24479166666667,69.0214651140091,0.8715277777777778,26482.0,975.6666666666666,26.1741420926401,198.02777777777777,578.75,9.378927748644069,188.27777777777777,3871.6944444444443,5144.458804352752,87.91666666666667,1
17,WET,576,1392.923611111111,2616.8242344540167,127.57638888888889,68.98621841646577,0.875,26483.0,975.1944444444445,26.89218627296194,198.22222222222223,578.1111111111111,9.016739283221364,187.22222222222223,3457.3611111111113,4748.008160739031,88.02777777777777,1
18,WET,576,1448.7465277777778,2731.2930453616145,127.61458333333333,68.8974988144123,0.8680555555555556,26488.0,975.0277777777778,26.28795064675733,197.91666666666666,578.6666666666666,9.537894346837179,187.19444444444446,3550.8888888888887,4707.01296716037,90.30555555555556,1
19,WET,576,1482.0086805555557,2774.5952629507133,127.24131944444444,68.9222772882063,0.8628472222222222,26483.0,975.6111111111111,26.775551511223046,198.08333333333334,578.6388888888889,9.902821467434066,186.86111111111111,3868.9444444444443,5024.376049077107,92.33333333333333,1
20,WET,576,1455.763888888889,2731.357295085762,128.08159722222223,68.96694514366197,0.8680555555555556,26492.0,975.4166666666666,26.10350277535291,198.08333333333334,578.5555555555555,9.38218507733656,188.5,3828.222222222222,5046.5663580645805,89.22222222222223,1
21,WET,576,1415.5902777777778,2623.2601718758137,128.1875,68.79417457067939,0.8697916666666666,26481.0,975.25,25.939903072844572,198.19444444444446,578.5277777777778,9.40056567024745,187.13888888888889,3775.277777777778,5068.37126056494,87.94444444444444,1
22,WET,576,1429.5694444444443,2704.5457859633125,126.94618055555556,69.2332176264533,0.8715277777777778,26478.0,976.1388888888889,27.015501135224227,198.19444444444446,578.4166666666666,9.490973154981075,187.22222222222223,3776.1666666666665,5069.418188651295,87.22222222222223,1
23,WET,576,1424.5885416666667,2658.1450584726554,126.92361111111111,69.11324039625828,0.8663194444444444,26482.0,975.1111111111111,26.265433860361338,198.05555555555554,578.3888888888889,9.345060659522693,188.52777777777777,3509.25,4725.839253508312,87.47222222222223,1
24,WET,576,1424.5885416666667,2658.1450584726554,126.92361111111111,69.11324039625828,0.8663194444444444,26482.0,975.1111111111111,26.265433860361338,198.05555555555554,578.3888888888889,9.345060659522693,188.52777777777777,3509.25,4725.839253508312,87.47222222222223,1
25,WET,576,1451.5208333333333,2743.490848856693,126.94618055555556,68.95879067820675,0.8697916666666666,26483.0,975.25,26.2018265448368,198.19444444444446,577.9722222222222,9.144822457422439,187.05555555555554,3872.1944444444443,5144.228359846981,87.80555555555556,1
26,WET,576,1412.814236111111,2678.7397544533883,127.171875,69.10956458637044,0.875,26486.0,975.6944444444445,26.47674930893621,196.55555555555554,578.3333333333334,9.597618752288804,188.47222222222223,3871.4444444444443,5144.315694847465,88.94444444444444,1
27,WET,576,1412.814236111111,2678.7397544533883,127.171875,69.10956458637044,0.875,26486.0,975.6944444444445,26.47674930893621,196.55555555555554,578.3333333333334,9.597618752288804,188.47222222222223,3871.4444444444443,5144.315694847465,88.94444444444444,1
28,WET,576,1426.9375,2725.8515144322587,126.89756944444444,69.15498089784487,0.875,26496.0,975.9722222222222,26.618453439147505,198.5,578.4166666666666,9.565936590692145,188.72222222222223,3849.222222222222,5240.357562015952,90.72222222222223,1
29,WET,576,1450.0121527777778,2714.6853603604022,127.640625,68.65587760829317,0.8697916666666666,26495.0,975.3611111111111,27.13790472781333,197.08333333333334,578.3055555555555,9.16458850902115,188.88888888888889,3828.5833333333335,5046.387405857779,95.08333333333333,1
30,WET,576,1396.8645833333333,2612.3991339637496,128.30729166666666,68.65332355917292,0.8715277777777778,26486.0,975.0,26.61793165732991,198.55555555555554,578.4166666666666,9.5150257112482,189.27777777777777,3828.1111111111113,5045.370912474567,92.5,1
31,WET,576,1430.5034722222222,2670.433449001023,128.18229166666666,68.81095605008001,0.8715277777777778,26493.0,975.2222222222222,27.00064667068033,198.63888888888889,578.0,9.40516575383671,188.94444444444446,3776.277777777778,5071.089156672424,90.72222222222223,1
32,WET,576,1414.0347222222222,2657.530025996347,128.17708333333334,68.7213316174158,0.8732638888888888,26489.0,975.8055555555555,26.9197956311967,198.38888888888889,578.2222222222222,9.109213894611202,187.66666666666666,3766.277777777778,5073.489008624629,93.47222222222223,1
33,WET,576,1403.0729166666667,2622.264425435654,128.62673611111111,68.90821124399493,0.8715277777777778,26485.0,975.75,26.88640123610022,198.72222222222223,578.2222222222222,9.236916959713069,189.22222222222223,3458.277777777778,4748.258890589634,92.94444444444444,1
34,WET,576,1408.2864583333333,2686.2249855791965,127.72743055555556,69.03811103544476,0.8784722222222222,26493.0,975.4166666666666,27.060118255469618,198.61111111111111,578.3611111111111,9.1780881226594,189.0,3849.222222222222,5240.730991057919,91.08333333333333,1
35,WET,576,1441.2378472222222,2734.2684682152044,128.05208333333334,69.02516194671935,0.8715277777777778,26489.0,975.4722222222222,26.719159643661925,196.83333333333334,578.25,9.436630754670864,187.30555555555554,3872.972222222222,5145.674935522404,92.55555555555556,1
36,WET,576,1441.2378472222222,2734.2684682152044,128.05208333333334,69.02516194671935,0.8715277777777778,26489.0,975.4722222222222,26.719159643661925,196.83333333333334,578.25,9.436630754670864,187.30555555555554,3872.972222222222,5145.674935522404,92.55555555555556,1
37,WET,576,1398.9496527777778,2618.4501517344065,127.48263888888889,68.91434682699837,0.8767361111111112,26485.0,975.3055555555555,25.796809818762412,198.16666666666666,578.0833333333334,9.583840566286565,188.77777777777777,3776.1111111111113,5068.939397534066,89.30555555555556,1
38,WET,576,1423.921875,2673.4619862942454,128.35763888888889,68.91536080973722,0.8697916666666666,26486.0,974.3888888888889,25.947505002851734,198.36111111111111,578.5,9.622889378975527,188.77777777777777,3869.6666666666665,5024.108813653281,92.05555555555556,1
39,WET,576,1450.3350694444443,2685.4370882115923,128.28472222222223,68.85992859849264,0.8628472222222222,26478.0,975.9722222222222,26.888644561398152,198.05555555555554,578.5833333333334,9.296312633051267,188.69444444444446,3509.1388888888887,4725.277988211172,91.19444444444444,1
40,WET,576,1421.0277777777778,2684.15926003957,127.36458333333333,69.02620574095795,0.8715277777777778,26489.0,975.3055555555555,26.873055485208805,196.63888888888889,579.0555555555555,9.441381389377431,188.61111111111111,3551.3055555555557,4706.810147128426,91.44444444444444,1
41,WET,576,1423.2465277777778,2719.145809946909,127.21527777777777,68.99453110316108,0.8784722222222222,26476.0,975.5,26.727727710589775,198.05555555555554,578.5277777777778,9.51535934644948,188.80555555555554,3775.8611111111113,5068.28947844355,88.97222222222223,1
42,WET,576,1452.5364583333333,2768.278358761535,126.71006944444444,69.14204608988064,0.8732638888888888,26483.0,975.4722222222222,26.47854777104462,198.19444444444446,578.8055555555555,9.510353589474233,188.61111111111111,3775.8888888888887,5069.281345391096,90.25,1
43,WET,576,1438.2135416666667,2725.5641836747327,127.27430555555556,69.03386673555373,0.8715277777777778,26484.0,975.6944444444445,26.749439988204234,198.02777777777777,578.0833333333334,9.287087810503357,187.22222222222223,3827.8611111111113,5045.316652403086,87.36111111111111,1
44,WET,576,1442.560763888889,2728.282794492612,127.87152777777777,69.15685790207733,0.8732638888888888,26492.0,975.6944444444445,26.53495747601583,196.63888888888889,578.3055555555555,9.428890086005259,187.11111111111111,3724.1666666666665,5092.911255573069,90.02777777777777,1
45,WET,576,1388.4600694444443,2600.5817254809645,127.17881944444444,69.1925476377788,0.8732638888888888,26486.0,975.2222222222222,26.792441483278836,198.0,578.2777777777778,9.397905879536937,187.08333333333334,3827.777777777778,5045.902774167295,88.97222222222223,1
46,WET,576,1453.1944444444443,2742.0425654867863,127.57986111111111,68.88257830848926,0.8680555555555556,26485.0,975.0555555555555,26.922050913643734,198.0,578.8888888888889,9.510228411791404,188.5,3767.8611111111113,5191.705165262745,85.41666666666667,1
47,WET,576,1450.032986111111,2732.1204544696343,127.37326388888889,69.29404370877555,0.8697916666666666,26486.0,975.6388888888889,26.1928591989472,198.11111111111111,578.4444444444445,8.916900308465443,187.11111111111111,3724.6944444444443,5093.123850949543,88.66666666666667,1
